Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Region,Fecha,Hora,Dia,Mes,VTR,E.R.
905878352825130_2128560307223589,https://www.facebook.com/NogginLA/posts/2128560307223589,Aprendizajes cargados de aventura de la mano de Paw Patrol + Blaze and the Monster Machines llegaron a Noggin. Muchas lecciones de STEM y desarrollo social para tu peque. ¡Aprovecha los 7 días gratis y descárgala ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Video,0.0,0.0,03/29/2019 08:00:01 AM, ,726,726,0,975,975,0,324,319,574,0,0,776,587,0,0,28,303,441,0,0,397,577,0,0,9983,9983,15.0,1.0,0.0,18.0,1.0,0.0,307.0,29.0,2.0,0.0,532.0,40.0,2.0,0.0,0.0,0.0,Latinoamérica,2019-03-29,8,Viernes,3,0.546831955922865,0.06473829201101929
905878352825130_2118249668254653,https://www.facebook.com/NogginLA/posts/2118249668254653,"¡Llegó el postre! Chocolix, el show más dulce y familiero de Nick Jr. que tu peque podrá disfrutar sin comerciales, cuando y donde quiera. ¡Descarga Noggin ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,03/23/2019 07:00:01 AM, ,355,355,0,530,530,0,36,36,77,0,0,373,258,0,0,13,23,24,0,0,88,104,0,0,4371,12478,0.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,0.0,0.0,51.0,26.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-03-23,7,Sábado,3,0.24788732394366197,0.05352112676056338
905878352825130_2118315324914754,https://www.facebook.com/NogginLA/posts/2118315324914754,"Con altas expectativas, iniciativa y proactividad, el personaje de Skye de Paw Patrol es un modelo a seguir para miles de niñas. Encuentra los especiales de Paw Patrol en Noggin. ¡Descárgala ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,03/22/2019 12:22:37 PM, ,535,535,0,746,746,0,463,457,633,0,0,287,186,0,0,21,294,330,0,0,539,647,0,0,18368,26025,9.0,2.0,0.0,9.0,2.0,0.0,448.0,39.0,1.0,0.0,563.0,69.0,1.0,0.0,0.0,0.0,Latinoamérica,2019-03-22,12,Viernes,3,1.0074766355140188,0.09532710280373832
905878352825130_2108206655925621,https://www.facebook.com/NogginLA/posts/2108206655925621,Tenemos entretenimiento que enseña: Paw Patrol y Blaze and the Monster Machines llegaron con su dinamismo y formato interactivo para mostrarle a tu peque lecciones de trabajo en equipo. ¡Suscríbete ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Video,0.0,0.0,03/16/2019 08:00:17 AM, ,1728,1728,0,2358,2358,0,861,832,1484,1,1,1932,1474,0,0,64,776,1133,0,0,1036,1544,0,0,13459,13459,33.0,3.0,0.0,37.0,3.0,0.0,807.0,80.0,5.0,0.0,1355.0,124.0,5.0,0.0,1.0,1.0,Latinoamérica,2019-03-16,8,Sábado,3,0.5995370370370371,0.07002314814814815
905878352825130_2108205592592394,https://www.facebook.com/NogginLA/posts/2108205592592394,Tenemos unas chocolatosas novedades...¡Descarga la app para disfrutar de nuevos sabores y aventuras!,Video,0.0,0.0,03/15/2019 10:55:00 AM, ,302,302,0,440,440,0,30,27,89,0,0,314,218,0,0,7,15,23,0,0,60,91,0,0,7503,22526,4.0,0.0,0.0,4.0,0.0,0.0,24.0,11.0,0.0,0.0,70.0,19.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-03-15,10,Viernes,3,0.1986754966887417,0.04966887417218543
905878352825130_2089493151130305,https://www.facebook.com/NogginLA/posts/2089493151130305,"Noggin es la plataforma con los shows más apasionantes y anticipados por tus hijos. ¡Desde el inicio hasta el final, tú y tus hijos no podrán dejar de cantar! ¿Qué esperas para descargar la app? Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,03/09/2019 05:00:02 AM, ,767,767,0,1054,1054,0,140,136,305,0,0,527,389,0,0,21,97,112,0,0,246,305,0,0,15772,40363,6.0,2.0,2.0,7.0,2.0,2.0,117.0,43.0,1.0,0.0,226.0,78.0,1.0,0.0,0.0,0.0,Latinoamérica,2019-03-09,5,Sábado,3,0.32073011734028684,0.07040417209908735
905878352825130_2089476234465330,https://www.facebook.com/NogginLA/posts/2089476234465330,¿Una app de streaming para que tus peques puedan disfrutar de Blaze y los Monster Machines + lo mejor de Nick Jr. sin comerciales? ¡Suscríbete ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Video,0.0,0.0,03/08/2019 07:00:02 AM, ,707,707,0,957,957,0,321,319,527,0,0,302,219,0,0,13,118,148,0,0,359,437,0,0,50904,96105,11.0,0.0,0.0,13.0,0.0,0.0,306.0,85.0,0.0,0.0,421.0,106.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-03-08,7,Viernes,3,0.5077793493635078,0.13578500707213578
905878352825130_2089140044498949,https://www.facebook.com/NogginLA/posts/2089140424498911:0,Noggin Latinoamérica,Photo,0.0,0.0,03/01/2019 07:27:06 AM, ,1,1,0,3,3,0,11,8,17,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,17.0,0.0,0.0,Latinoamérica,2019-03-01,7,Viernes,3,0.0,6.0
905878352825130_2083336461745974,https://www.facebook.com/NogginLA/posts/2083336461745974,"No solo son los umi-amigos de tus peques, Team Umizoomi también los ayudan a resolver problemas matemáticos 🧮💯 con su formato interactivo. Todo el entretenimiento que enseña encuéntralo en Noggin, la app de Nick Jr. ¡Descárgala en la App Store o Google Play!",Video,0.0,0.0,02/28/2019 06:59:00 AM, ,354,354,0,522,522,0,1,1,1,0,0,403,279,0,0,1,0,0,0,0,3,3,0,0,4424,28542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-02-28,6,Jueves,2,0.00847457627118644,0.002824858757062147
905878352825130_2083325805080373,https://www.facebook.com/NogginLA/posts/2083325805080373,En Noggin celebramos las matemáticas con desafíos y especiales con valores STEM para que los niños en edad preescolar den sus primeros pasos hacia esas ramas. Descarga la app 👉📱para disfrutar el especial MUNDO DEL CONOCIMIENTO.,Photo,0.0,0.0,02/26/2019 06:56:00 AM, ,963,963,0,1229,1229,0,30,26,35,0,0,695,537,0,0,8,0,0,0,0,0,0,0,0,0,0,4.0,1.0,2.0,4.0,1.0,2.0,0.0,4.0,0.0,22.0,0.0,4.0,0.0,31.0,0.0,0.0,Latinoamérica,2019-02-26,6,Martes,2,0.0,0.01142263759086189
905878352825130_2083327118413575,https://www.facebook.com/NogginLA/posts/2083327118413575,"Blaze y los Monster Machines, Rusty Rivets, Team Umizoomi y muchos más se unieron para compartir con tu hijo lecciones sobre ciencia, tecnología, física y matemáticas. Descarga los episodios para disfrutarlos offline ⚡️💯",Video,0.0,0.0,02/25/2019 06:59:00 AM, ,426,426,0,625,625,0,96,95,146,1,1,379,295,0,0,13,87,111,0,0,145,180,0,0,11276,13481,2.0,1.0,0.0,3.0,1.0,0.0,89.0,22.0,0.0,0.0,115.0,31.0,0.0,0.0,1.0,1.0,Latinoamérica,2019-02-25,6,Lunes,2,0.3403755868544601,0.05868544600938967
905878352825130_2061214803958140,https://www.facebook.com/NogginLA/posts/2061214803958140,"La educación es obsoleta sin interacción. Nuestro contenido es desarrollado por especialistas para despertar interés en tecnología, matemáticas e idiomas en los preescolares de hoy. No te pierdas el especial Mundo del Conocimiento. ¡Descárgate la app ya!",Video,0.0,0.0,02/16/2019 06:00:01 AM, ,401,401,0,603,603,0,33,30,44,0,0,397,300,0,0,9,15,15,0,0,73,87,0,0,5405,36286,5.0,0.0,0.0,5.0,0.0,0.0,29.0,8.0,0.0,0.0,36.0,8.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-02-16,6,Sábado,2,0.18204488778054864,0.032418952618453865
905878352825130_2061212393958381,https://www.facebook.com/NogginLA/posts/2061212393958381,Funcional y entretenido. El mundo de Noggin tiene las puertas abiertas para que tus hijos disfruten y aprendan con el mejor contenido de Nick Jr. Descarga la app y compruébalo por ti mismo.,Video,0.0,0.0,02/15/2019 05:00:01 AM, ,424,424,0,617,617,0,50,48,84,0,0,437,334,0,0,13,38,44,0,0,103,122,0,0,4248,9706,4.0,0.0,0.0,4.0,0.0,0.0,46.0,14.0,0.0,0.0,67.0,17.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-02-15,5,Viernes,2,0.2429245283018868,0.04245283018867924
905878352825130_2055335674546053,https://www.facebook.com/NogginLA/posts/2055335674546053,Febrero viene potenciado ya que tenemos un especial increíble para tus peques. Entérate haciendo clic en el post y descarga la app para disfrutarlos 👉📱,Photo,0.0,0.0,02/09/2019 05:00:01 AM, ,1168,1168,0,1565,1565,0,43,33,40,0,0,1421,1086,0,0,35,0,0,0,0,0,0,0,0,0,0,13.0,1.0,0.0,13.0,1.0,0.0,0.0,6.0,0.0,28.0,0.0,6.0,0.0,34.0,0.0,0.0,Latinoamérica,2019-02-09,5,Sábado,2,0.0,0.017123287671232876
905878352825130_2055333974546223,https://www.facebook.com/NogginLA/posts/2055333974546223,Rusty Rivets motiva a los preescolares a inventar soluciones creativas a través de la ingeniería y la ciencia. ¡No te pierdas los otros episodios educativos del especial Mundo del Conocimiento descargando la app 👉📱!,Video,0.0,0.0,02/08/2019 07:00:01 AM, ,579,579,0,839,835,0,361,357,567,0,0,492,365,0,0,20,258,303,0,0,435,576,0,0,31186,39550,10.0,0.0,0.0,10.0,0.0,0.0,344.0,51.0,0.0,0.0,490.0,77.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-02-08,7,Viernes,2,0.7512953367875648,0.10535405872193437
905878352825130_2046911795388441,https://www.facebook.com/NogginLA/posts/2046911795388441,"Noggin es la app preferida de los padres que tienen hijos en edad preescolar. Descubre los shows y juegos de Nick Jr., libres de publicidad y con opción para disfrutarlos sin consumo de datos. ¡Descarga la app ya 👉📱!",Video,0.0,0.0,02/02/2019 05:00:00 AM, ,503,503,0,733,733,0,68,65,116,0,0,510,393,0,0,22,28,33,0,0,98,132,0,0,9970,35113,6.0,0.0,1.0,6.0,0.0,1.0,58.0,18.0,0.0,0.0,97.0,19.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-02-02,5,Sábado,2,0.19483101391650098,0.04970178926441352
905878352825130_1993704334264809,https://www.facebook.com/NogginLA/videos/1993704334264809/,0,Video,0.0,0.0,02/01/2019 08:08:07 AM, ,101,101,0,192,192,0,20,19,25,0,0,38,29,0,0,7,2,2,0,0,27,28,0,0,12052,30505,3.0,0.0,0.0,4.0,0.0,0.0,19.0,4.0,0.0,0.0,21.0,4.0,0.0,0.0,0.0,0.0,Latinoamérica,2019-02-01,8,Viernes,2,0.26732673267326734,0.06930693069306931
905878352825130_2046537165425904,https://www.facebook.com/NogginLA/posts/2046537582092529:0,Noggin Latinoamérica,Photo,0.0,0.0,02/01/2019 08:03:36 AM, ,0,0,0,0,0,0,12,9,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,Latinoamérica,2019-02-01,8,Viernes,2,0.0,0.0
